"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2021"," Lei RON",5161
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2021"," Lei RON",5298
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2021"," Lei RON",5336
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2021"," Lei RON",5731
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2021"," Lei RON",5354
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2021"," Lei RON",5382
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2021"," Lei RON",5534
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2021"," Lei RON",5530
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2021"," Lei RON",5464
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna octombrie 2021"," Lei RON",5325
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna noiembrie 2021"," Lei RON",6910
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna decembrie 2021"," Lei RON",7762
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna ianuarie 2022"," Lei RON",5841
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna februarie 2022"," Lei RON",5820
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna martie 2022"," Lei RON",5839
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna aprilie 2022"," Lei RON",6102
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna mai 2022"," Lei RON",5954
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iunie 2022"," Lei RON",6013
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna iulie 2022"," Lei RON",6154
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna august 2022"," Lei RON",6138
"02-03 Silvicultura si exploatare forestiera; Pescuit si acvacultura"," Luna septembrie 2022"," Lei RON",5963
